Volume,Part,type,description,bibliographicCitation,WFOID,language,contributor,audience,rightsHolder,created,creator,source,rights,license,URI
3,3,ecology,On humus-rich floor of dense evergreen forests only at highest regions higher than 1800 m alt.,"Acrophorus stipellatus. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 328–330. Accessed 2021-07-31",wfo-0000157764,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000157764,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0462
3,3,ecology,"On sandy or muddy slopes in mixed forests at low to medium elevations up to 1100 m alt., usually confined to places completely exposed in the dry season.","Anisocampium cumingianum. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 444–445. Accessed 2021-07-31",wfo-0001115202,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001115202,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0615
3,3,ecology,"In lower montane forest along streamlets at high altitudes at about 2200 m; only once collected; HENNIPMAN 3457 (L, KYO).","Arachniodes assamica. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 344–345. Accessed 2021-07-31",wfo-0001116817,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001116817,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0484
3,3,ecology,Terrestrial in evergreen forest at high altitude.,"Arachniodes cavaleriei. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 340–342. Accessed 2021-07-31",wfo-0001116819,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001116819,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0479
3,3,ecology,On mountain slopes in evergreen forests at medium or high altitudes.,"Arachniodes chinensis. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 344. Accessed 2021-07-31",wfo-0001125364,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001125364,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0483
3,3,ecology,"In hill evergreen forest along streamlets at about 1350 m alt.; only once collected : HENNIPMAN 3597 (L, KYO).","Arachniodes hasseltii. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 340. Accessed 2021-07-31",wfo-0001114736,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001114736,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0478
3,3,ecology,On mountain slopes usually in dense evergreen forests at 800–1400 m alt.,"Arachniodes henryi. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 342–343. Accessed 2021-07-31",wfo-0001125361,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001125361,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0480
3,3,ecology,On rather dry mountain slopes in mixed or in evergreen forests at medium altitudes.,"Arachniodes speciosa. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 343. Accessed 2021-07-31",wfo-0001118512,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001118512,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0481
3,3,ecology,On rather dry or humus-rich mountain slopes in mixed or in evergreen forests at 300–1500 m alt.,"Arachniodes spectabilis. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 343–344. Accessed 2021-07-31",wfo-0001125363,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001125363,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0482
3,3,ecology,On humus-rich floor of dense evergreen forests above 1800 m alt.,"Athyrium anisopterum. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 448–449. Accessed 2021-07-31",wfo-0001117798,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001117798,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0620
