Volume,Part,type,description,bibliographicCitation,WFOID,language,contributor,audience,rightsHolder,created,creator,source,rights,license,URI
3,1,use,"Locally used for medicine, especially silky hairs on buds used for fresh wound.","Cibotium barometz. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 109–110. Accessed 2021-07-31",wfo-0000748037,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000748037,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0174
3,1,use,Fibrous trunk used for orchid media.,"Cyathea borneensis. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 103–104. Accessed 2021-07-31",wfo-0001255454,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001255454,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0167
3,1,use,Fibrous trunk used for orchid media.,"Cyathea chinensis. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 102. Accessed 2021-07-31",wfo-0001125321,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001125321,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0165
3,1,use,Fibrous trunk used for orchid media.,"Cyathea contaminans. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 106–107. Accessed 2021-07-31",wfo-0001128161,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001128161,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0171
3,1,use,Fibrous trunk used for orchid media.,"Cyathea gigantea. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 105–106. Accessed 2021-07-31",wfo-0001115244,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001115244,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0170
3,1,use,Fibrous trunk used for orchid media.,"Cyathea latebrosa. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 104. Accessed 2021-07-31",wfo-0001118146,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001118146,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0168
3,1,use,Fibrous trunk used for orchid media.,"Cyathea podophylla. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 104–105. Accessed 2021-07-31",wfo-0001115178,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001115178,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0169
3,1,use,Fibrous trunk used for orchid media.,"Cyathea spinulosa. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 102–103. Accessed 2021-07-31",wfo-0001107268,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001107268,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0166
3,1,use,Stems used in making handbags and hats.,"Lygodium flexuosum. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 62–63. Accessed 2021-07-31",wfo-0001115286,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001115286,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0103
3,1,use,Stems used in making handbage and hats.,"Lygodium polystachyum. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 59–60. Accessed 2021-07-31",wfo-0001124448,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001124448,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0100
3,1,use,Stems used in making handbags and hats.,"Lygodium salicifolium. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 64–65. Accessed 2021-07-31",wfo-0001124449,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001124449,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0105
3,1,use,Fibrous roots esteemed for orchid cultivation.,"Osmunda cinnamomea. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 45. Accessed 2021-07-31",wfo-0001109065,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001109065,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0073
